submitted_on,water_point_name,latitude,longitude,total_users_of_water_point,water_point_photos,likely_submerged_during_flood,evidence_submerged,evidence_not_submerged,functional_status,pumpable_at_visit,reported_problems,reported_problems_other,water_quality_problems,civil_works_problems,civil_works_photo,pump_problems,pump_problems_other,pump_problems_photo,pump_operational_feel,time_to_pump_20l,strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,total_dissolved_solids_ppt,ph,fluoride_ppm,ammonia_mg_per_l,nitrate_mg_per_l,free_chlorine_mg_per_l,arsenic_magnitude,arsenic_units,turbidity_magnitude,turbidity_units,temperature_magnitude,temperature_units,temperature_time,comments,sample_type,sample_date,mpn_100ml,upper_95_ci_100ml,health_risk_category,color_change_image
14/06/2019,Demula borehole 3,-15.965988,35.479673,986,https://api.mwater.co/v3/images/210fe17207064e5691d857bbc15ad8d5,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Water quality,NA,Bad colour,NA,NA,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",61.28,2,Present,29.3,?S / cm,0.02,7.9,0.4,0.9,0.2,0,5,ppb,25,NTU,25.3,C,6/22/2019 9:18,It makes a lot of noise when one wants to draw water from the borehole,Point of collection,6/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/762515abb1284ab98fb8576ecf2c8cb7
21/11/2019,Demula borehole 3,-15.965988,35.479673,350,https://api.mwater.co/v3/images/c5f4e909b2c44331ad5c4036bf7330ce; https://api.mwater.co/v3/images/08159e262305401dab38a6ee2edc16b2,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage or problem with pump, Soil erosion or collapse around the water point",NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/44810aac331f4d43bb93e5f14c6aa1ca,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times",66.002,3,Absent,1385,?S / cm,0.92,7.4,0.5,0.2,0.2,0,0,ppb,5,NTU,25.3,C,6/22/2019 10:33,NA,Point of collection,6/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/8b481d95915e455096d287c01213f11a
30/01/2020,Demula borehole 3,-15.965988,35.479673,250,https://api.mwater.co/v3/images/38b9effa2438490eafe87b074154b384; https://api.mwater.co/v3/images/50734e8d94974354bd184ed17a3eb52c,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage or problem with pump, Soil erosion or collapse around the water point",NA,NA,NA,NA,"Pump loose at the point of attachment, Damage to pump head or handle",NA,https://api.mwater.co/v3/images/4667d7d5a359459da2a39999d6758049,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times",62.97,3,Absent,1265,?S / cm,0.84,7.55,1.2,0.3,1,0,0,ppb,5,NTU,29.8,C,6/22/2019 10:36,NA,Point of collection,6/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/28330894029d4b45a9003e9d1d92506b
18/06/2019,Nkando,-15.9152953,35.3540545,500,https://api.mwater.co/v3/images/b5c3865c2e724343919439c7b6198b80; https://api.mwater.co/v3/images/6778c4b7a8a140359d7f1eff29af8197,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,Other,"Rods, pipes were stolen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/06/2019,Nkondezi   primary school borehole,-15.9224121,35.413199,356,https://api.mwater.co/v3/images/921119d75b874b328f29a1c4d175d6bc,No,NA,Local report not seeing the water point submerged,Not functional,NA,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,NA,Platform cracked or damaged,https://api.mwater.co/v3/images/ce102e2ddd9a46ee8c41aecce4737748,NA,NA,https://api.mwater.co/v3/images/1110120a5132400c843a548e18e076c2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/11/2019,Nkondezi   primary school borehole,-15.9224121,35.413199,1400,https://api.mwater.co/v3/images/791cce96a03e49a6a998638329f5b0e9; https://api.mwater.co/v3/images/44506c391bde4833ab9a420f41acac4b; https://api.mwater.co/v3/images/f7797f425e3b4ebe88b696e084f716cc; https://api.mwater.co/v3/images/7672af4a2f974e60a9a1d0f60d9bac75,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Leakage from pump/ pedestal",NA,NA,NA,NA,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),36.771,NA,Absent,239.2,?S / cm,0.11,6.62,0.2,0.15,0.4,0,5,ppb,5,NTU,26.3,C,6/24/2019 16:40,NA,Point of collection,6/24/2019,48.3,351.91,probably_unsafe,https://api.mwater.co/v3/images/1d5ee983155c4baba8618ef61b4b4e4b
12/02/2020,Nkondezi   primary school borehole,-15.9224121,35.413199,2600,https://api.mwater.co/v3/images/984c9361f9454f8598da3570b5d4a576; https://api.mwater.co/v3/images/99a51457180146acb94c4094127615e8; https://api.mwater.co/v3/images/f6c455e95e82415389405c1e1499184b; https://api.mwater.co/v3/images/cc9b7c6647bf43d49458c1121d293cb7; https://api.mwater.co/v3/images/0b6b23ac08464e95855e969f01b610b6,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),40.58,1,Absent,668,?S / cm,0.33,7.31,0.2,0.15,0.1,0,5,ppb,5,NTU,25.7,C,6/24/2019 16:43,Community says the water tastes somehow salty.,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/b001acef367843f0bbb63afc43479599
05/07/2019,Chenkhuku borehole,-15.92091003,35.43798384,950,https://api.mwater.co/v3/images/f172b4396c724cb1932c0b9a3e980c2b; https://api.mwater.co/v3/images/e8034e91cfe44d2087a3dab67977da0a; https://api.mwater.co/v3/images/8518553f19954e7bbe522f01aa52128a; https://api.mwater.co/v3/images/52a448a657f640979a8f16d8d569f7c2; https://api.mwater.co/v3/images/cbdeeb4fe9454952aa0de9db23c2e088; https://api.mwater.co/v3/images/ca54a65ebccc4eee9ae2f4a1cb1f7a50,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),46.73,1,Absent,NA,NA,20.42,6.21,0.2,0.15,0.5,0,5,ppb,5,NTU,26.4,C,6/24/2019 16:49,Communit says the water does not taste salty.,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/dd1ac18b3b1f445498c6c4037f2c7974
13/02/2020,Chenkhuku borehole,-15.92091003,35.43798384,1330,https://api.mwater.co/v3/images/78afadb6cf1f46708083cce2d2325c4a; https://api.mwater.co/v3/images/1130b057b0f64b92b05a664ee2164c36; https://api.mwater.co/v3/images/3ae1c6c4b80a4d7681b02cc939c27c41,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Other,"Sideways wabbling of the handle,  head cover bolt missing.",NA,NA,NA,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),44.261,2,Absent,232.4,?S / cm,0.1,6.57,0.2,2.4,0.5,0,5,ppb,5,NTU,24.2,C,6/24/2019 10:00,The water tastes good according to community members.,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/f77042b1139146cab4569dcd50658131
20/06/2019,Khokholiwa borehole 4,-15.6864885,35.4820317,1000,https://api.mwater.co/v3/images/ebe86022aa8245c9bacc172d50c9f889; https://api.mwater.co/v3/images/c97f3be1fa95435687d25e60c3e16910,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Partially functional but in need of repair,Yes,Damage or problem with pump,NA,NA,NA,NA,"Pump loose at the point of attachment, Damage to pump head or handle",NA,https://api.mwater.co/v3/images/b9f6808b98c445fcadace081f6036215,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times",56.56,3,Absent,981,?S / cm,0.49,7.37,0.8,0.1,3.6,0,0,ppb,5,NTU,28.5,C,6/24/2019 18:16,NA,Point of collection,6/24/2019,NA,NA,NA,NA
02/12/2019,Khokholiwa borehole 4,-15.6864885,35.4820317,1000,https://api.mwater.co/v3/images/5eebbe74930e4d758f98cbc06259a1e3; https://api.mwater.co/v3/images/2d3947a46f4f46e4a929f6d6f68d911e,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Damage or problem with pump,NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/16452d6749c54f87afe2e26ee7cc2921,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke",78.89,2,Absent,981,?S / cm,0.49,7.37,0.8,0.1,3.6,0,0,ppb,5,NTU,28.5,C,6/24/2019 9:13,NA,Point of collection,6/24/2019,NA,NA,NA,NA
02/02/2020,Khokholiwa borehole 4,-15.6864885,35.4820317,300,https://api.mwater.co/v3/images/0a58765688ec4efc82ee0bf83a333198,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,No problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/07/2019,Munjale borehole,-15.6704407,35.4974788,400,https://api.mwater.co/v3/images/288e9cc8dba34fddb1d72a52d3cbb39a,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/55092554f821491392189071b758c9b4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/11/2019,Munjale borehole,-15.6704407,35.4974788,800,https://api.mwater.co/v3/images/9e44c81ddd434777b1826de2e1517319,Yes,Local report seeing the water point submerged,NA,Not functional,NA,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged, Faulty drainage , Pedestal cracked or damaged, Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/946e892d039b4a539a26f27ec75dfb0f,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/a18cf140f41741e5a8562516aa541c8e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/02/2020,Munjale borehole,-15.6704407,35.4974788,695,https://api.mwater.co/v3/images/3e441fd9e8ed488fb47bd71b3a2ccc5a,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/058986f34ce74c7c8b38857be13a68f1,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",84.677,5,Present,152.8,?S / cm,0.07,7.4,2,0.15,0.1,0,5,ppb,25,NTU,236,C,6/24/2019 7:25,Its taking long for water to start coming out and there is spillage of water coming out apart from the sprout,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/7be65955cce64c3da6f7a8527062d9de
04/07/2019,Kuselema borehole 5,-15.6110224,35.528749,850,https://api.mwater.co/v3/images/679aaadc05c14365a010f182394fce93; https://api.mwater.co/v3/images/36e106bb0ae14a799abb4a5bf5849283; https://api.mwater.co/v3/images/fe8ebe11eb7848feb51e3f6fb1e4ec56; https://api.mwater.co/v3/images/c400c8beaa1a4c9e8638e33525dc2b96; https://api.mwater.co/v3/images/9ae66acde0a841fa9fd342ae0c38ebc1; https://api.mwater.co/v3/images/379aed86b2af4a478a5a237b7a5f6eca; https://api.mwater.co/v3/images/c3b43b97d8a94555a45f847e8b26c7af,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,"Significant sideways movement on handle (loose/wobbly), Very light",55.772,1,Absent,963,?S / cm,0.47,7.54,1.4,0.15,0.1,0,5,ppb,5,NTU,23,C,6/25/2019 17:42,Community says that during the rainy season the borehole produces muddy water.  The borehole currently is felt very light. According to the community the water tastes abit salty. The head is rusty with holes on it.,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/29e63c57045b48668d9e63540a88de5f
26/06/2019,Shaibu Water point 2,-15.8454206,35.4773626,425,https://api.mwater.co/v3/images/a9ad956fdbdb49e98bfaebf698a05ebe; https://api.mwater.co/v3/images/bfe1b01f9d7a42e7befdd3a9c9d20d5e; https://api.mwater.co/v3/images/43841e47b38f4428abbe27b6a8617da4; https://api.mwater.co/v3/images/7e4123586de8408a878765cf5b888b31,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,"Significant sideways movement on handle (loose/wobbly), Very light",42.313,1,Absent,841,?S / cm,0.31,7.7,0.8,0.15,0.8,0,5,ppb,5,NTU,24.7,C,6/25/2019 17:45,The water is abit salty according to community members.,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/14ed5fbfeee348b981ff2071e4b6709c
06/02/2020,Shaibu Water point 2,-15.8454206,35.4773626,475,https://api.mwater.co/v3/images/179b2675b8b047c3ba2cf76b03c25db8; https://api.mwater.co/v3/images/768132d3082341b7bcfa0ceeb783e5bb; https://api.mwater.co/v3/images/de15f1f4934d4747ae4ae87b89dfb410; https://api.mwater.co/v3/images/32ff7d1a6e5e4a879aaa7418c9d2a1ce; https://api.mwater.co/v3/images/90fff4875ff4464c8d901df4672fe168; https://api.mwater.co/v3/images/e60dc2acc8724b77a5b4d992c6e61429; https://api.mwater.co/v3/images/ee57fc74e38640588676dedc0ab43501,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point, Leakage from pump/ pedestal",NA,NA,Platform cracked or damaged,https://api.mwater.co/v3/images/52f1c8418b2c407796a6e8bca450a0e4,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",46.691,1,Absent,938,?S / cm,0.46,7.56,0.8,0.15,0.1,0,5,ppb,5,NTU,23.6,C,6/25/2019 17:48,The water tastes good and not salty according to the community members.,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/3a0e2eebb82b453a849886b7305dd9d5
20/06/2019,Mpoka borehole,-15.902672,35.4157284,450,https://api.mwater.co/v3/images/48ca5aaa40774a9aa3ba9e2288e07404; https://api.mwater.co/v3/images/3aaed0c912d44ff19b6f57842d617a4c; https://api.mwater.co/v3/images/ebde1b76f01e4e83a02616da3cbe7f5b,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,NA,NA,NA,NA,NA,NA,NA,NA,"Significant sideways movement on handle (loose/wobbly), Very light",49.681,1,Absent,608,?S / cm,0.3,7.62,1.2,0.15,0.1,0,5,ppb,5,NTU,26.6,C,6/25/2019 17:50,The water tastes good according to community members.,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/9f924b784f57462ab7e7a42a4eaec452
26/11/2019,Mpoka borehole,-15.902672,35.4157284,390,https://api.mwater.co/v3/images/9b2b39cd426544c19fdf99979a9a6d1a; https://api.mwater.co/v3/images/4228858cfdab4424b64e93c909cd1e65,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning",NA,NA,NA,NA,"Significant sideways movement on handle (loose/wobbly), Very light",53.24,2,Absent,731,?S / cm,0.35,7.65,1,0.15,0.2,0,5,ppb,5,NTU,25.5,C,6/25/2019 17:53,The handle is making sideways movement when pumping and the borehole feels light.,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/e986107591a84de796ed22af0fc9e185
06/02/2020,Mpoka borehole,-15.902672,35.4157284,0,https://api.mwater.co/v3/images/850ed0f8f5a54ca4933ae2c068359fb4; https://api.mwater.co/v3/images/2f25772b06bc4a9abd6cc4eae379ff51; https://api.mwater.co/v3/images/7f6816dc71b94678a286b99bd6120fa7,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",No longer exists or abandoned,NA,Damage or problem with pump,NA,NA,NA,NA,Missing pump head,NA,https://api.mwater.co/v3/images/4b1af12cb84d425a92921bb50b305afa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/07/2019,Nkhonya borehole 3,-15.9919083,35.4714733,500,https://api.mwater.co/v3/images/6f2752d59d6341fab4daa2ae11dbdbbe; https://api.mwater.co/v3/images/f281c1ee956c4ce6aae533653a1edae5,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/090a2fe5e61a4379bdd6936d1517f16a,NA,NA,NA,"Significant friction (very stiff) on up stroke, Significant sideways movement on handle (loose/wobbly)",76.152,2,Present,717,?S / cm,0.34,7.25,1,0.1,0.1,0,0,ppb,5,NTU,27.4,C,6/25/2019 13:31,NA,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/df1dbe02e2d64a70a7fb3c83f34ae683
21/11/2019,Nkhonya borehole 3,-15.9919083,35.4714733,667,https://api.mwater.co/v3/images/5aa8386dfb82484685f0a56d6e36b534; https://api.mwater.co/v3/images/3cd3fdb3258a46f6935814cfc0e5f5f2; https://api.mwater.co/v3/images/0b224e22ec5f41ad8caed2ab75ffb006,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged, Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/cc1af536ce6f4457bde879ba809ab66c,"Missing pump head, Other","Parts of the borehole which include rods, and head case cover were stolen in 2017",https://api.mwater.co/v3/images/2fc15a24185949bcbdece66eed76c7f1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/06/2019,Kachenje  borehole 1,-15.90127,35.3773133,350,https://api.mwater.co/v3/images/ec00607877b24a1d84a0595d472024e4; https://api.mwater.co/v3/images/1dbb29e25ce0415b9ef974c69b417139; https://api.mwater.co/v3/images/0bc8d9d99d8e4222894703573f4e4247,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/5b20c6b477dd44fca8c9e5b25a124a33,NA,NA,NA,Very light,58.291,10,Absent,1030,?S / cm,0.52,7.2,0.19,0.2,0.08,0,5,ppb,5,NTU,29,C,6/24/2019 13:48,NA,Point of collection,6/24/2019,13.6,83.06,possibly_unsafe,https://api.mwater.co/v3/images/1b50916ebf7143258cf62602e4cda132
26/06/2019,Tembenu,-15.87767919,35.4593161,450,https://api.mwater.co/v3/images/22f35f5f1f474e40b8f596cd23921a78; https://api.mwater.co/v3/images/2649f1b810924c8a8ce0730a07baf0f6,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Partially functional but in need of repair,Yes,"Damage or problem with pump, Water quality",NA,Salinity / saltiness,NA,NA,Damage to pump head or handle,NA,https://api.mwater.co/v3/images/73cf1f39ce9a4fcca7f008ca916edecf,Significant friction (very stiff) on down stroke,56.191,2,NA,6,mS / cm,3.02,6.99,0.8,0.15,0.4,0,5,ppb,5,NTU,31.5,C,6/25/2019 8:57,Big noise when operating the pump,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/de6112bf831948f197ff4c2dc38c2dbf
